Standort;Bezirk;Typ;Aufbau;;;;;;;;;;;
Klausenerplatz ggü. 23 Mittelinsel vor Spandauer Damm;Charlottenburg-Wilmersdorf;Ein Platz Mit kostenfreiem Pissoir;17.08.20;;;;;;;;;;;
Hempelsteig hinter 1A ggü. Rückseite U-Bhf. Ruhleben;Charlottenburg-Wilmersdorf;Ein Platz Ohne kostenfreies Pissoir;30.08.19;;;;;;;;;;;
Hohenzollerndamm vor Rheinbabenallee (Roseneck, Hundekehlestr.);Charlottenburg-Wilmersdorf;Ein Platz Ohne kostenfreies Pissoir;26.08.19;;;;;;;;;;;
Hochmeisterplatz, Westfälische Str. ggü. 70 hinter Johann-Georg-Str.;Charlottenburg-Wilmersdorf;Ein Platz Ohne kostenfreies Pissoir;02.09.19;;;;;;;;;;;
Mariannenplatz 2-3;Friedrichshain-Kreuzberg;Ein Platz Mit kostenfreiem Pissoir;27.02.21;;;;;;;;;;;
Görlitzer Park, Zugang Skalitzer Str. vor Görlitzer Str.;Friedrichshain-Kreuzberg;Zwei Plätze Mit kostenfreiem Pissoir;27.04.21;;;;;;;;;;;
Platz der Vereinten Nationen, Landsberger Allee vor Friedenstr. stew.;Friedrichshain-Kreuzberg;Ein Platz Ohne kostenfreies Pissoir;18.03.20;;;;;;;;;;;
Warschauer Str. hinter 47-48 vor Mühlenstr.;Friedrichshain-Kreuzberg;Ein Platz Mit kostenfreiem Pissoir;18.08.21;;;;;;;;;;;
Storkower Str. 207A vor Zugang S-Bhf. Storkower Str.;Lichtenberg;Zwei Plätze Ohne kostenfreies Pissoir;09.06.21;;;;;;;;;;;
Rheinsteinpark, Königswinterstr. ggü. 7 vor Rheinsteinstr.;Lichtenberg;Ein Platz Ohne kostenfreies Pissoir;19.05.21;;;;;;;;;;;
Am Tierpark 72 hinter Otto-Schmirgal-Str. (U-Bhf. Tierpark);Lichtenberg;Ein Platz Ohne kostenfreies Pissoir;22.04.21;;;;;;;;;;;
S-Bhf. Karlshorst, Stolzenfelsstr. hinter Treskowallee;Lichtenberg;Ein Platz Ohne kostenfreies Pissoir;26.11.19;;;;;;;;;;;
Roedernstr. vor Hultschiner Damm 75;Marzahn-Hellersdorf;Ein Platz Ohne kostenfreies Pissoir;12.08.20;;;;;;;;;;;
An der Wuhle ggü. 56 vor Ulmenstr.;Marzahn-Hellersdorf;Ein Platz Mit kostenfreiem Pissoir;07.10.21;;;;;;;;;;;
Elsterwerdaer Platz 1-3 vor U-Bahnhof Elsterwerdaer Platz;Marzahn-Hellersdorf;Ein Platz Mit kostenfreiem Pissoir;27.04.20;;;;;;;;;;;
U-Bhf. Kienberg, Neue Grottkauer Str. hinter Etkar-Andre-Str.;Marzahn-Hellersdorf;Ein Platz Ohne kostenfreies Pissoir;19.11.19;;;;;;;;;;;
Stralsunder Str. (Fußgängerzone) 61 hinter Brunnenstr.;Mitte;Ein Platz Ohne kostenfreies Pissoir;24.11.20;;;;;;;;;;;
Soldiner Str. 77 hinter ggü. Stockholmer Str.;Mitte;Ein Platz Mit kostenfreiem Pissoir;23.09.21;;;;;;;;;;;
Humboldthain, Gustav-Meyer-Allee hinter Brunnenstr.;Mitte;Ein Platz Ohne kostenfreies Pissoir;20.03.19;;;;;;;;;;;
Str. des 17. Juni hinter Ebertstr.;Mitte;Ein Platz Mit kostenfreiem Pissoir;12.08.20;;;;;;;;;;;
Joachim-Gottschalk-Weg 12-14;Neukölln;Ein Platz Ohne kostenfreies Pissoir;16.12.20;;;;;;;;;;;
Thomashöhe, Thomasstr. ggü. 11-15 hinter Mittelweg;Neukölln;Ein Platz Mit kostenfreiem Pissoir;29.04.21;;;;;;;;;;;
Schillerpromenade 37 Mittelinsel hinter Herrfurthplatz;Neukölln;Ein Platz Mit kostenfreiem Pissoir;10.07.20;;;;;;;;;;;
Hermannplatz 9 Mittelinsel vor Sonnenallee;Neukölln;Ein Platz Ohne kostenfreies Pissoir;13.12.19;;;;;;;;;;;
Hugenottenplatz, Schweizer Tal ggü. 48 vor Rosenthaler Weg;Pankow;Ein Platz Ohne kostenfreies Pissoir;16.10.19;;;;;;;;;;;
Helmholtzplatz, Raumerstr. ggü. 9;Pankow;Ein Platz Mit kostenfreiem Pissoir;01.02.21;;;;;;;;;;;
Antonplatz, Berliner Allee 34 hinter ggü. Langhansstr.;Pankow;Ein Platz Ohne kostenfreies Pissoir;02.04.20;;;;;;;;;;;
Am Falkplatz ggü. 5 hinter Gleimstr.;Pankow;Ein Platz Mit kostenfreiem Pissoir;05.11.20;;;;;;;;;;;
Klixarena, Zobeltitzstr. ggü. 93 hinter Klixstr.;Reinickendorf;Ein Platz Ohne kostenfreies Pissoir;01.09.21;;;;;;;;;;;
Fasanerie 4-5 vor Spielplatz Alte Fasanerie/Freizeitpark Lübars;Reinickendorf;Ein Platz Ohne kostenfreies Pissoir;15.07.21;;;;;;;;;;;
S-Bhf. Frohnau, Welfenallee 1-5 vor Ludolfinger Platz;Reinickendorf;Ein Platz Ohne kostenfreies Pissoir;12.11.19;;;;;;;;;;;
Greenwichpromenade vor Tegeler Hafenbrücke;Reinickendorf;Zwei Plätze Ohne kostenfreies Pissoir;25.11.20;;;;;;;;;;;
Alt-Gatow hinter 65 (Parkplatz);Spandau;Ein Platz Mit kostenfreiem Pissoir;23.07.21;;;;;;;;;;;
Lindenufer ggü. 10;Spandau;Ein Platz Ohne kostenfreies Pissoir;18.10.19;;;;;;;;;;;
Moritzstr. hinter Altstädter Ring , Parkplatz;Spandau;Ein Platz Mit kostenfreiem Pissoir;14.02.20;;;;;;;;;;;
Rathaus Spandau, Altstädter Ring hinter Stabholzgarten;Spandau;Zwei Plätze Ohne kostenfreies Pissoir;23.03.21;;;;;;;;;;;
Ostpreußendamm 83 hinter Wismarer Str.;Steglitz-Zehlendorf;Ein Platz Ohne kostenfreies Pissoir;01.08.19;;;;;;;;;;;
Steglitzer Damm vor 39/39a hinter Immenweg;Steglitz-Zehlendorf;Ein Platz Ohne kostenfreies Pissoir;22.10.19;;;;;;;;;;;
Brauerstr. ggü. 1 hinter Königsberger Str. (Kranoldplatz);Steglitz-Zehlendorf;Ein Platz Ohne kostenfreies Pissoir;07.05.19;;;;;;;;;;;
Schloßstr. ggü. 33-35 auf dem Hermann-Ehlers-Platz;Steglitz-Zehlendorf;Zwei Plätze Ohne kostenfreies Pissoir;29.09.20;;;;;;;;;;;
Holzmannstr. ggü. 23 vor Rohrbeckstr.;Tempelhof-Schöneberg;Ein Platz Mit kostenfreiem Pissoir;22.06.21;;;;;;;;;;;
Stübbenstr. vor Grunewaldstr. 49;Tempelhof-Schöneberg;Ein Platz Mit kostenfreiem Pissoir;28.06.21;;;;;;;;;;;
Platz der Luftbrücke, Tempelhofer Damm vor Manfred-von-Richthofen-Str.;Tempelhof-Schöneberg;Ein Platz Ohne kostenfreies Pissoir;14.05.19;;;;;;;;;;;
S-u. U-Bhf. Tempelhof, Tempelhofer Damm 108;Tempelhof-Schöneberg;Zwei Plätze Ohne kostenfreies Pissoir;25.09.20;;;;;;;;;;;
S-Bhf. Wilhelmshagen, Schönblicker Str. vor Erknerstr.;Treptow-Köpenick;Ein Platz Ohne kostenfreies Pissoir;25.09.19;;;;;;;;;;;
Wernsdorfer Str. ggü. 1 hinter Alt-Schmöckwitz;Treptow-Köpenick;Ein Platz Ohne kostenfreies Pissoir;27.11.19;;;;;;;;;;;
S-Bhf. Grünau, Wassersportallee hinter Adlergestell;Treptow-Köpenick;Ein Platz Ohne kostenfreies Pissoir;03.06.19;;;;;;;;;;;
S-Bhf. Friedrichshagen, Dahlwitzer Landstr. ggü. Schöneicher Str.;Treptow-Köpenick;Ein Platz Mit kostenfreiem Pissoir;30.04.20;;;;;;;;;;;
Treptower Park, Weltspielplatz/Alt-Treptow hinter Bulgarische Str.;Treptow-Köpenick;Heringsbautoilette;02.01.19;;;;;;;;;;;
S-Bhf. Treptower Park, Stern und Kreisschiffahrt/Puschkinallee 15;Treptow-Köpenick;Herringsbautoilette;02.01.19;;;;;;;;;;;